indices,times,engine,encoded_indices
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.04051852226257324, 0.0010132789611816406, 0.003002643585205078, 0.0029976367950439453, 0.02863168716430664, 0.004535675048828125, 0.0023298263549804688, 0.004603147506713867, 0.010049581527709961, 0.01921844482421875]",InnoDB,I19+I14
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.043389320373535156, 0.0010387897491455078, 0.0030012130737304688, 0.001996755599975586, 0.032090187072753906, 0.004023313522338867, 0.0010156631469726562, 0.004956245422363281, 0.011279106140136719, 0.01900792121887207]",InnoDB,I19+I20
"('CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.043280601501464844, 0.0020020008087158203, 0.0027570724487304688, 0.003000020980834961, 0.02916550636291504, 0.0039746761322021484, 0.0029990673065185547, 0.006000041961669922, 0.00899505615234375, 0.02060103416442871]",InnoDB,I19+I11
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);')","[0.029376745223999023, 0.00099945068359375, 0.007301807403564453, 0.002992391586303711, 0.039287567138671875, 0.005014896392822266, 0.002012968063354492, 0.005999326705932617, 0.011055231094360352, 0.019248485565185547]",InnoDB,I15+I18
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);')","[0.04114198684692383, 0.0020012855529785156, 0.0060160160064697266, 0.0039730072021484375, 0.030640125274658203, 0.003818035125732422, 0.0020034313201904297, 0.006020069122314453, 0.009995222091674805, 0.01911306381225586]",InnoDB,I15+I16
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.042392730712890625, 0.0019598007202148438, 0.006654500961303711, 0.0030028820037841797, 0.029693603515625, 0.005025148391723633, 0.0019960403442382812, 0.00416874885559082, 0.015063285827636719, 0.01907968521118164]",InnoDB,I15+I17
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.04290151596069336, 0.0019986629486083984, 0.001924753189086914, 0.003010988235473633, 0.028632402420043945, 0.0050165653228759766, 0.0010020732879638672, 0.006026029586791992, 0.00999593734741211, 0.02011871337890625]",InnoDB,I15+I12
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.04267072677612305, 0.002004384994506836, 0.007031917572021484, 0.003525257110595703, 0.029578208923339844, 0.005002260208129883, 0.0010280609130859375, 0.005035400390625, 0.00954127311706543, 0.01954793930053711]",InnoDB,I15+I14
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04230833053588867, 0.0025320053100585938, 0.007998228073120117, 0.0020279884338378906, 0.02870965003967285, 0.004653215408325195, 0.0020008087158203125, 0.0050201416015625, 0.009387731552124023, 0.01840996742248535]",InnoDB,I15+I20
"('CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.041175127029418945, 0.0019867420196533203, 0.00600433349609375, 0.003002643585205078, 0.03054189682006836, 0.004019498825073242, 0.0019979476928710938, 0.005030155181884766, 0.009066343307495117, 0.018988847732543945]",InnoDB,I15+I11
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);')","[0.029524564743041992, 0.0019898414611816406, 0.0070514678955078125, 0.004000186920166016, 0.03988933563232422, 0.004999399185180664, 0.0009999275207519531, 0.006032228469848633, 0.010184764862060547, 0.020021438598632812]",InnoDB,I18+I16
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.02960944175720215, 0.0010085105895996094, 0.007578134536743164, 0.00299835205078125, 0.03712892532348633, 0.00497746467590332, 0.0025653839111328125, 0.0060291290283203125, 0.010997295379638672, 0.022062063217163086]",InnoDB,I18+I17
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.031085729598999023, 0.0009791851043701172, 0.0009553432464599609, 0.003033876419067383, 0.038675785064697266, 0.0039865970611572266, 0.0018198490142822266, 0.005025625228881836, 0.009018659591674805, 0.02002120018005371]",InnoDB,I18+I12
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.02916431427001953, 0.0027925968170166016, 0.006999492645263672, 0.003013134002685547, 0.0383455753326416, 0.005011558532714844, 0.0019910335540771484, 0.00603175163269043, 0.010106325149536133, 0.0192413330078125]",InnoDB,I18+I14
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.0292356014251709, 0.0010001659393310547, 0.008998870849609375, 0.0029358863830566406, 0.03866219520568848, 0.004001140594482422, 0.001997709274291992, 0.005023002624511719, 0.009069442749023438, 0.020427703857421875]",InnoDB,I18+I20
"('CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.028539657592773438, 0.0020253658294677734, 0.006519794464111328, 0.003015279769897461, 0.038025856018066406, 0.004017829895019531, 0.0009975433349609375, 0.005101442337036133, 0.010048151016235352, 0.018658161163330078]",InnoDB,I18+I11
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.04048943519592285, 0.002001047134399414, 0.006993293762207031, 0.0030045509338378906, 0.02919459342956543, 0.0042307376861572266, 0.0020055770874023438, 0.005598306655883789, 0.01005864143371582, 0.019664764404296875]",InnoDB,I16+I17
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.04285240173339844, 0.001999378204345703, 0.0020155906677246094, 0.0030035972595214844, 0.02861928939819336, 0.005250692367553711, 0.0010192394256591797, 0.005999326705932617, 0.008997917175292969, 0.01796579360961914]",InnoDB,I16+I12
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.0430302619934082, 0.0009996891021728516, 0.006022453308105469, 0.0025060176849365234, 0.02815103530883789, 0.0049970149993896484, 0.002028226852416992, 0.0055389404296875, 0.010010719299316406, 0.019001007080078125]",InnoDB,I16+I14
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04331684112548828, 0.0010004043579101562, 0.00608062744140625, 0.0020089149475097656, 0.031522512435913086, 0.0040132999420166016, 0.0020639896392822266, 0.0049953460693359375, 0.010072708129882812, 0.019310474395751953]",InnoDB,I16+I20
"('CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.0398867130279541, 0.002038717269897461, 0.006997585296630859, 0.0020265579223632812, 0.030122756958007812, 0.0044825077056884766, 0.0020003318786621094, 0.005026817321777344, 0.00899958610534668, 0.019060373306274414]",InnoDB,I16+I11
"('CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.04230833053588867, 0.001981496810913086, 0.0010020732879638672, 0.0030150413513183594, 0.030047178268432617, 0.003999948501586914, 0.002016305923461914, 0.006015777587890625, 0.00906062126159668, 0.019148588180541992]",InnoDB,I17+I12
"('CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.04293632507324219, 0.002000093460083008, 0.007281780242919922, 0.0020215511322021484, 0.03032827377319336, 0.005014181137084961, 0.0009984970092773438, 0.005018949508666992, 0.008446693420410156, 0.01815176010131836]",InnoDB,I17+I14
"('CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.0427706241607666, 0.002009868621826172, 0.007009744644165039, 0.0019021034240722656, 0.028394699096679688, 0.003969907760620117, 0.002015352249145508, 0.006012678146362305, 0.011521100997924805, 0.01905965805053711]",InnoDB,I17+I20
"('CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04327893257141113, 0.002039194107055664, 0.007026195526123047, 0.003020048141479492, 0.02788996696472168, 0.0030198097229003906, 0.0016825199127197266, 0.005036115646362305, 0.010055780410766602, 0.019234418869018555]",InnoDB,I17+I11
"('CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.0440516471862793, 0.0020623207092285156, 0.0010039806365966797, 0.002996206283569336, 0.0323641300201416, 0.0040590763092041016, 0.0019989013671875, 0.006035804748535156, 0.010074377059936523, 0.01879596710205078]",InnoDB,I12+I14
"('CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04222893714904785, 0.001999378204345703, 0.0011146068572998047, 0.0019693374633789062, 0.028879404067993164, 0.0040285587310791016, 0.0009982585906982422, 0.006031513214111328, 0.009516239166259766, 0.01949763298034668]",InnoDB,I12+I20
"('CREATE INDEX idx_patient_disease ON patient(Disease(255));', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.041271209716796875, 0.0009508132934570312, 0.0009679794311523438, 0.0030431747436523438, 0.02761530876159668, 0.004006624221801758, 0.000997304916381836, 0.005057096481323242, 0.009041547775268555, 0.018542051315307617]",InnoDB,I12+I11
"('CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.040076494216918945, 0.002996683120727539, 0.00700068473815918, 0.0029990673065185547, 0.02907729148864746, 0.004283428192138672, 0.0009984970092773438, 0.00499415397644043, 0.01004934310913086, 0.019812345504760742]",InnoDB,I14+I20
"('CREATE INDEX idx_sample_date ON sample(Date);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04342031478881836, 0.002096891403198242, 0.0066070556640625, 0.003996610641479492, 0.02885270118713379, 0.004001140594482422, 0.0009145736694335938, 0.004918098449707031, 0.011992454528808594, 0.019051790237426758]",InnoDB,I14+I11
"('CREATE INDEX idx_sample_type ON sample(Sample_Type);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.044138431549072266, 0.003001689910888672, 0.007003307342529297, 0.0020105838775634766, 0.028719663619995117, 0.004000663757324219, 0.0010304450988769531, 0.004007577896118164, 0.010001897811889648, 0.01800704002380371]",InnoDB,I20+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);')","[0.04190540313720703, 0.0019919872283935547, 0.0030384063720703125, 0.0030052661895751953, 0.02964043617248535, 0.005515575408935547, 0.0019969940185546875, 0.004910707473754883, 0.010046720504760742, 0.02029728889465332]",InnoDB,I13+I19+I15
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);')","[0.02637338638305664, 0.0020012855529785156, 0.002022266387939453, 0.002997875213623047, 0.04192829132080078, 0.004007101058959961, 0.001984119415283203, 0.006055116653442383, 0.017253398895263672, 0.02065753936767578]",InnoDB,I13+I19+I18
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);')","[0.05110478401184082, 0.0009996891021728516, 0.0020275115966796875, 0.002997159957885742, 0.03063178062438965, 0.003999233245849609, 0.002030611038208008, 0.006512641906738281, 0.014041900634765625, 0.020998716354370117]",InnoDB,I13+I19+I16
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.04356265068054199, 0.001007080078125, 0.002956867218017578, 0.0020368099212646484, 0.029617786407470703, 0.004012584686279297, 0.0010063648223876953, 0.005021572113037109, 0.010202407836914062, 0.018523216247558594]",InnoDB,I13+I19+I17
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.04185819625854492, 0.002010345458984375, 0.0020089149475097656, 0.0030031204223632812, 0.028315305709838867, 0.004048824310302734, 0.0020008087158203125, 0.005997180938720703, 0.009050130844116211, 0.0184938907623291]",InnoDB,I13+I19+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.042574167251586914, 0.0020263195037841797, 0.0020263195037841797, 0.003275632858276367, 0.02874898910522461, 0.004968404769897461, 0.0019867420196533203, 0.006000995635986328, 0.009014129638671875, 0.01794719696044922]",InnoDB,I13+I19+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04755425453186035, 0.002000570297241211, 0.0020055770874023438, 0.0019991397857666016, 0.02860713005065918, 0.0040111541748046875, 0.0009996891021728516, 0.006663084030151367, 0.010113954544067383, 0.020357131958007812]",InnoDB,I13+I19+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_patient_id ON sample(Patient_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04466128349304199, 0.001558065414428711, 0.0030057430267333984, 0.0029973983764648438, 0.0300443172454834, 0.0040476322174072266, 0.002002239227294922, 0.004946470260620117, 0.011063814163208008, 0.026247739791870117]",InnoDB,I13+I19+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);')","[0.03240180015563965, 0.0020437240600585938, 0.008040189743041992, 0.004002571105957031, 0.05062413215637207, 0.005461215972900391, 0.0010008811950683594, 0.005063772201538086, 0.012563705444335938, 0.020259380340576172]",InnoDB,I13+I15+I18
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);')","[0.04477429389953613, 0.002025127410888672, 0.0060236454010009766, 0.002976655960083008, 0.03104877471923828, 0.005542755126953125, 0.001008749008178711, 0.005633354187011719, 0.010051727294921875, 0.019144058227539062]",InnoDB,I13+I15+I16
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.044097900390625, 0.0023217201232910156, 0.007998466491699219, 0.0039784908294677734, 0.029107093811035156, 0.004285573959350586, 0.002999544143676758, 0.006106138229370117, 0.008989810943603516, 0.01984262466430664]",InnoDB,I13+I15+I17
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.04606175422668457, 0.0030341148376464844, 0.00298309326171875, 0.002995014190673828, 0.029237747192382812, 0.004016876220703125, 0.0020835399627685547, 0.0059888362884521484, 0.009621143341064453, 0.02020120620727539]",InnoDB,I13+I15+I12
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_date ON sample(Date);')","[0.04291725158691406, 0.002016305923461914, 0.007048368453979492, 0.00399327278137207, 0.031525611877441406, 0.004995822906494141, 0.0020148754119873047, 0.0049626827239990234, 0.010052204132080078, 0.01969289779663086]",InnoDB,I13+I15+I14
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_sample_type ON sample(Sample_Type);')","[0.04434847831726074, 0.0019958019256591797, 0.006745338439941406, 0.0022683143615722656, 0.028504133224487305, 0.0055027008056640625, 0.0020568370819091797, 0.006001472473144531, 0.010031938552856445, 0.026207923889160156]",InnoDB,I13+I15+I20
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_id ON sample(Sample_ID);', 'CREATE INDEX idx_microorganism_species ON microorganism(Species(255));')","[0.04429364204406738, 0.001995086669921875, 0.007586002349853516, 0.0035669803619384766, 0.029581546783447266, 0.004029750823974609, 0.00200653076171875, 0.004998207092285156, 0.010069847106933594, 0.01861429214477539]",InnoDB,I13+I15+I11
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_microorganism_id ON sample_microorganism(Microorganism_ID);')","[0.031345367431640625, 0.002027273178100586, 0.006024837493896484, 0.0030400753021240234, 0.03734612464904785, 0.004051685333251953, 0.00299835205078125, 0.005010128021240234, 0.00904226303100586, 0.0200958251953125]",InnoDB,I13+I18+I16
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_sample_microorganism_qpcr ON sample_microorganism(qPCR);')","[0.030518293380737305, 0.0010042190551757812, 0.007058143615722656, 0.0029952526092529297, 0.03829503059387207, 0.004941225051879883, 0.0031828880310058594, 0.0049974918365478516, 0.010106563568115234, 0.018073320388793945]",InnoDB,I13+I18+I17
"('CREATE INDEX idx_patient_id ON patient(Patient_ID);', 'CREATE INDEX idx_sample_microorganism_sample_id ON sample_microorganism(Sample_ID);', 'CREATE INDEX idx_patient_disease ON patient(Disease(255));')","[0.031119585037231445, 0.0010039806365966797, 0.0020046234130859375, 0.0030274391174316406, 0.03753995895385742, 0.003999471664428711, 0.0017867088317871094, 0.0056743621826171875, 0.009021520614624023, 0.020526647567749023]",InnoDB,I13+I18+I12
